condition,trial,feature,mean_absolute_change,mean_clean_absolute_value
clean,0,freq__beta__T8-P8,0.0,3.2312804299188557e-09
clean,0,freq__gamma__T8-P8,0.0,2.7547613227147768e-09
clean,0,entropy__perm__C3-P3,0.0,0.7089603428399605
clean,0,entropy__spectral__C3-P3,0.0,0.3681093785771038
clean,0,entropy__perm__C4-P4,0.0,0.6742116701069187
clean,0,entropy__spectral__C4-P4,0.0,0.3104632074186706
clean,0,entropy__perm__CZ-PZ,0.0,0.6141763522541963
clean,0,entropy__spectral__CZ-PZ,0.0,0.32480327062095293
clean,0,entropy__perm__F3-C3,0.0,0.6900998383653373
clean,0,entropy__spectral__F3-C3,0.0,0.343183959702882
clean,0,entropy__perm__F4-C4,0.0,0.713909221277965
clean,0,entropy__spectral__F4-C4,0.0,0.38473680104034125
clean,0,entropy__perm__F7-T7,0.0,0.7983913825997542
clean,0,entropy__spectral__F7-T7,0.0,0.39244173549108974
clean,0,entropy__perm__F8-T8,0.0,0.8077461844863743
clean,0,entropy__spectral__F8-T8,0.0,0.5609911689422971
clean,0,entropy__perm__FP1-F3,0.0,0.7164593336570184
clean,0,entropy__spectral__FP1-F3,0.0,0.4518687066936863
clean,0,entropy__perm__FP1-F7,0.0,0.7341886782412705
clean,0,entropy__spectral__FP1-F7,0.0,0.41161889467173063
clean,0,entropy__perm__FP2-F4,0.0,0.7363307151552979
clean,0,entropy__spectral__FP2-F4,0.0,0.4388425324623515
clean,0,entropy__perm__FP2-F8,0.0,0.750924740199022
clean,0,entropy__spectral__FP2-F8,0.0,0.3942554219287314
clean,0,entropy__perm__FT10-T8,0.0,0.8153382692165938
clean,0,entropy__spectral__FT10-T8,0.0,0.6277744231744176
clean,0,entropy__perm__FT9-FT10,0.0,0.7949033005624522
clean,0,entropy__spectral__FT9-FT10,0.0,0.34139511525635247
clean,0,entropy__perm__FZ-CZ,0.0,0.6734677959190201
clean,0,entropy__spectral__FZ-CZ,0.0,0.3369618601528044
clean,0,entropy__perm__P3-O1,0.0,0.7434551473273514
clean,0,entropy__spectral__P3-O1,0.0,0.3655805828765012
clean,0,entropy__perm__P4-O2,0.0,0.7327564730410555
clean,0,entropy__spectral__P4-O2,0.0,0.38754023355067896
clean,0,entropy__perm__P7-O1,0.0,0.7937944520722193
clean,0,entropy__spectral__P7-O1,0.0,0.4292208662846968
clean,0,entropy__perm__P7-T7,0.0,0.8045020006787107
clean,0,entropy__spectral__P7-T7,0.0,0.568137344052827
clean,0,entropy__perm__P8-O2,0.0,0.7717091940941277
clean,0,entropy__spectral__P8-O2,0.0,0.5073538249696466
clean,0,entropy__perm__T7-FT9,0.0,0.8149968462500023
clean,0,entropy__spectral__T7-FT9,0.0,0.5080494691184825
clean,0,entropy__perm__T7-P7,0.0,0.8045020006787107
clean,0,entropy__spectral__T7-P7,0.0,0.5681373440528271
clean,0,entropy__perm__T8-P8,0.0,0.8027772774949692
clean,0,entropy__spectral__T8-P8,0.0,0.5422345662936211
clean,0,hjorth__activity__C3-P3,0.0,1.3161581011417231e-08
clean,0,hjorth__mobility__C3-P3,0.0,0.1445860756863977
clean,0,hjorth__complexity__C3-P3,0.0,4.812369884907284
clean,0,hjorth__activity__C4-P4,0.0,1.9810474634386155e-08
clean,0,hjorth__mobility__C4-P4,0.0,0.07885633187060864
clean,0,hjorth__complexity__C4-P4,0.0,6.998113332130947
clean,0,hjorth__activity__CZ-PZ,0.0,1.2227639381392125e-08
clean,0,hjorth__mobility__CZ-PZ,0.0,0.06725456757326526
clean,0,hjorth__complexity__CZ-PZ,0.0,6.00370360285244
clean,0,hjorth__activity__F3-C3,0.0,1.4877492040827087e-08
clean,0,hjorth__mobility__F3-C3,0.0,0.10256055218840701
clean,0,hjorth__complexity__F3-C3,0.0,6.957769593734534
clean,0,hjorth__activity__F4-C4,0.0,1.647064897972229e-08
clean,0,hjorth__mobility__F4-C4,0.0,0.13899350058564203
clean,0,hjorth__complexity__F4-C4,0.0,5.993653758092956
clean,0,hjorth__activity__F7-T7,0.0,1.579197558132901e-08
clean,0,hjorth__mobility__F7-T7,0.0,0.2537469471990922
clean,0,hjorth__complexity__F7-T7,0.0,3.3600807124736725
clean,0,hjorth__activity__F8-T8,0.0,1.4374912969227167e-08
clean,0,hjorth__mobility__F8-T8,0.0,0.36075296477867336
clean,0,hjorth__complexity__F8-T8,0.0,2.4843639323633777
clean,0,hjorth__activity__FP1-F3,0.0,2.9808179546515e-08
clean,0,hjorth__mobility__FP1-F3,0.0,0.17038680517859028
clean,0,hjorth__complexity__FP1-F3,0.0,5.1107000286509505
clean,0,hjorth__activity__FP1-F7,0.0,2.9302486348640987e-08
clean,0,hjorth__mobility__FP1-F7,0.0,0.14072007673118472
clean,0,hjorth__complexity__FP1-F7,0.0,5.217395891270485
clean,0,hjorth__activity__FP2-F4,0.0,1.940022186064863e-08
clean,0,hjorth__mobility__FP2-F4,0.0,0.1712496310425049
clean,0,hjorth__complexity__FP2-F4,0.0,5.561926670485823
clean,0,hjorth__activity__FP2-F8,0.0,1.6319284074814622e-08
clean,0,hjorth__mobility__FP2-F8,0.0,0.1739159668635911
clean,0,hjorth__complexity__FP2-F8,0.0,4.474823062514065
clean,0,hjorth__activity__FT10-T8,0.0,8.457242244056343e-09
clean,0,hjorth__mobility__FT10-T8,0.0,0.43515794596991253
clean,0,hjorth__complexity__FT10-T8,0.0,1.9683859502127115
