patient,file,start_sec,end_sec,label,condition,trial,channel_index,rmse_volts,normalized_rmse,correlation,noise_ratio,beta,method,factor,original_samples,retained_samples,sample_ratio,endpoint_policy,reduced_sample_rate,reduced_nyquist,clipped_fraction,substeps,noise_convention,initial_state,clip,target_frequency,mapping
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,0,13,4.827687412003424e-05,0.3,0.9578342885145075,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,0,14,4.8538494153443535e-05,0.3,0.9564956678676082,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,0,15,4.96811752209658e-05,0.3,0.9576698004881027,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,0,16,4.796671089292147e-05,0.3,0.9591036975382629,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,0,17,3.53863298989978e-05,0.3,0.9582712410072775,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,0,18,3.6892980369450204e-05,0.3,0.9574192003530849,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,0,19,2.1868576747123958e-05,0.3,0.9575826465128501,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,0,20,3.53863298989978e-05,0.3,0.9577920546301083,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,0,21,6.242880202281187e-05,0.29999999999999993,0.9573551763331771,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,0,2.7406448857559165e-05,0.3,0.9576152416539995,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,1,2.4947139864585595e-05,0.3,0.9590373514283635,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,2,2.4812177321239786e-05,0.3,0.958237230829497,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,3,2.2691680694723644e-05,0.3,0.9573217145568217,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,4,1.2999509375028672e-05,0.3,0.9568128914253964,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,5,3.8629182209673184e-05,0.3,0.9585317015962503,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,6,3.065096698658949e-05,0.3,0.9574223385571544,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,7,2.5341712850820327e-05,0.3,0.9573161935778544,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,8,2.157262566029877e-05,0.3,0.9593852644096408,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,9,2.0174640673612324e-05,0.3,0.9575395951192035,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,10,2.71543776008327e-05,0.29999999999999993,0.9569755872311201,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,11,2.8861286405768663e-05,0.3,0.9578485798253418,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_white,1,12,3.4809312224376804e-05,0.3,0.9586937903663988,0.3,0.0,,,,,,,,,,,,,,,
