Noise_Intensity,Non_Seizure_SNR_dB,Non_Seizure_SNR_STD,Seizure_SNR_dB,Seizure_SNR_STD,Non_Seizure_SNR_Smoothed,Seizure_SNR_Smoothed
14.099999999999998,-0.9129973988745308,3.6224275524301204,-3.9367824280224495,3.9800138336040933,-0.4399554652429389,-4.380342301468129
14.199999999999998,0.09936373729222232,3.2145087344433616,-5.672136714820563,4.489601745469097,-0.4239523612620157,-4.279434336843435
14.299999999999997,0.7097211826830379,3.8647339680547184,-3.743146642774756,4.075112378013775,-0.33636290620133635,-4.2181246489738315
14.399999999999997,-0.652116976378327,3.05976081870327,-2.4323261384806143,2.450774556143549,-0.33007900589780736,-4.168783775267361
14.499999999999996,-0.4795873214341063,3.369015950634584,-3.0981545192464384,3.2421890828410427,-0.34378131753571606,-3.9930183082472905
14.599999999999996,0.005517271838260207,2.7435710822465054,-3.837893469093939,3.3944777465491716,-0.3455017468764192,-3.8646210026954555
14.699999999999998,-1.273354315372022,3.1429697389992404,-4.490630688984147,2.4834036482291593,-0.33925122924709633,-3.861951265818609
14.799999999999997,0.04802741745982364,2.775351623258277,-4.076396227681257,3.617595228787326,-0.2950360850108649,-3.8302394163337374
14.899999999999997,0.4187377263038198,3.7469083763959703,-4.23300750529077,3.4297692872197407,-0.3474438029489972,-3.811287977327026
14.999999999999996,-1.5391518005922713,4.597848554366895,-4.016889765826416,3.7146686669499767,-0.38026379690615586,-3.9391396267384517
15.099999999999996,0.4931270079775315,3.300277763955033,-3.6197735741542942,3.6806749944859574,-0.5218792666379757,-4.068070100688965
15.199999999999998,-0.6164035687040845,3.734951824277763,-3.568599821750054,3.4946188495694868,-0.6145391364424877,-4.059890324299352
15.299999999999997,-1.3174013685110697,4.233383317216835,-4.213015769271259,3.5027114978334155,-0.5779078983915146,-4.246937766989466
15.399999999999997,0.08005682396447003,3.3739392900385643,-4.474900355595802,2.724278942488453,-0.4532283247924169,-4.354524343319139
15.499999999999996,-0.8354082791204492,3.4276933812401813,-4.707768475984517,2.295100136413587,-0.47999957033283563,-4.282623841969645
15.599999999999996,-0.7423147431221846,2.4931325015971235,-4.603353617672648,4.281684680626651,-0.6335858596457091,-4.212846424017218
15.699999999999996,-0.6957908811439658,2.908922324387221,-4.71105095207532,2.665530819009058,-0.5540320236169737,-4.148902503336395
15.799999999999997,-0.9350745582183142,3.1404062224829974,-3.4300496171277373,3.5562690487487063,-0.7174393191571731,-4.190526029999057
15.899999999999997,-0.2690912333034075,2.797573612926262,-4.8227682983818605,2.643614733755769,-0.6618827742118425,-4.106410236373052
15.999999999999996,-0.9434965394608481,3.00214208103376,-3.378398803951101,3.8783605557834493,-0.6938912671031499,-4.069945460787973
16.099999999999994,0.34710343974631064,2.8885672836452616,-3.6681686086649172,2.98129099342917,-0.8226918283990475,-4.081305578644869
16.199999999999996,-0.2738469227412358,2.0864590574712674,-4.453889489652619,3.1263747014559407,-0.728646447525635,-3.9632061825561298
16.299999999999997,-1.1919442333213415,3.3856328046145645,-3.92906540066119,2.9774701965147594,-0.7676624164878143,-3.882990625015151
16.4,-1.887705852516681,3.008243312148044,-3.248967593727307,2.794844037298716,-0.8674875366042406,-3.711050192931002
16.499999999999996,-1.3828314514592805,3.166915187994971,-3.7828027945189016,3.5485754182762115,-0.7516431173423432,-3.6336526440605894
16.599999999999998,0.6743858149671779,2.3146653890583213,-3.7021431772766347,2.9574078943582984,-0.654581317725829,-3.6402295355205183
16.699999999999996,-1.9014289885565727,3.8484081613735106,-3.9983958092390006,3.68220548531677,-0.680043839388871,-3.699754968854824
16.799999999999997,0.020307141274838524,3.0763719688616282,-2.9968441251224163,3.108396182246415,-0.6873014119014395,-3.768026464451458
16.899999999999995,-1.8052924644157293,3.218367023231008,-4.284155394645017,2.937218463704985,-0.7447905979212989,-3.6423425706021524
16.999999999999996,0.11692575407784307,3.242400608661318,-3.915021355296439,3.655276709466548,-0.687186733368602,-3.70023202474052
17.099999999999998,-0.1286481506111788,2.9876569587893838,-2.8292784150890045,4.5267749420974175,-0.6517511265815488,-3.643503226272711
17.199999999999996,-1.0874086668394742,2.869900943987506,-3.8928815072278544,3.4271354995156083,-0.5612385645058281,-3.5424103771421347
17.299999999999997,0.0012331172693204272,2.9625589103084593,-2.914536313863132,3.2727200938575765,-0.504968084465955,-3.657952745396377
17.399999999999995,0.40780402752592676,2.3927152150893383,-4.783541742122566,4.544953805567056,-0.5839834067489916,-3.732158137624883
