Noise_Intensity,Non_Seizure_SNR_dB,Non_Seizure_SNR_STD,Seizure_SNR_dB,Seizure_SNR_STD,Non_Seizure_Transitions,Seizure_Transitions
10.399999999999999,-0.8858488193006329,2.7882904286137684,-5.4616334735161916,3.7423014197831006,124.9,119.05
10.499999999999998,-1.4923392525408987,2.7218901317600808,-4.782255258473942,3.530292690722625,112.1,115.65
10.599999999999998,-1.5807123231369589,3.8295472050998414,-5.564704549771369,3.498416841477733,117.45,117.9
10.699999999999998,-0.07876486251149076,2.6993576606428022,-3.905274115968728,3.3948826243009167,115.95,114.85
10.799999999999997,-1.572611130689187,3.182598443907736,-5.52990481748637,3.6201192656690435,121.2,117.4
10.899999999999999,-1.204521271671711,2.8970830127280993,-4.477533777753928,3.033284038931494,120.35,121.05
10.999999999999998,-0.6853676933605624,2.896750960979908,-4.687417207505326,3.359391057765729,116.55,114.4
11.099999999999998,-0.5397500962750946,2.559646076272629,-5.858380222639179,3.8356601557099372,111.5,122.9
11.199999999999998,-1.9712287542860476,4.335818785864679,-4.182999597801228,3.0956883049532093,121.95,118.6
11.299999999999997,-1.7577684280912032,3.638743236912183,-4.766336654105011,3.913363510364099,122.15,117.4
11.399999999999997,-1.8803992945376458,3.103061668940683,-5.128940911460497,4.560875459689345,115.4,116.85
11.499999999999998,-0.3583482032706136,3.1221505605461304,-4.85952736625894,3.905228228846872,117.1,119.0
11.599999999999998,-0.2776127287872875,3.6639301464874654,-3.7771806263787733,3.0115255489865977,118.7,119.5
11.699999999999998,-0.21629692190011288,2.987860331049367,-4.096911545195535,4.1900183220843825,125.8,118.35
11.799999999999997,-0.30896900905812374,2.780531763513849,-4.938917543683473,3.332232798085029,123.15,121.8
11.899999999999997,-1.547723393640377,3.6090194367246777,-4.910840733482543,3.0348415865913547,124.15,119.0
11.999999999999998,-0.8429418458881841,2.8119132506604445,-3.820867477877877,2.882596957877798,127.75,121.15
12.099999999999998,-0.38586525559295215,2.5257846564457465,-4.107951123959767,4.433351576609352,126.4,122.65
12.199999999999998,-0.42635854676765783,3.680588905709428,-4.31658665044194,4.1890254283639266,129.15,116.15
12.299999999999997,-0.7297123507605147,2.73087815069063,-4.233902237929792,3.904447197358237,129.95,119.9
12.399999999999997,-0.6165577338061059,3.4105682935093538,-4.291543596278197,1.9936666670279442,115.25,121.3
12.499999999999996,-1.0568120232379279,2.970242236556322,-5.407384966036054,4.362181420926053,122.75,117.25
12.599999999999998,0.19808600191199233,3.4099623932011593,-4.766356096338415,5.7188141204899825,120.75,120.85
12.699999999999998,-1.0096864322881935,3.7260593709099608,-4.938295764002278,2.648634703877741,119.25,113.9
12.799999999999997,0.030630054315589843,3.1310755210963164,-3.980061338942118,3.1166685225474313,135.0,120.05
12.899999999999997,-0.2070181253305387,2.9120935822992284,-4.633115863800819,3.5095482369053244,124.85,127.55
12.999999999999996,-0.351395407310044,3.925564428071235,-3.6796889517319533,2.878921207424343,129.15,133.1
13.099999999999998,-1.2236907358428764,3.4388609929970255,-3.5963711792479662,3.2471078665919624,124.85,120.25
13.199999999999998,-0.5039122355700331,2.940653783600928,-4.915506909447083,3.6548674407233968,118.0,119.15
13.299999999999997,-0.21517434269787095,2.3573632451074764,-4.91895702704551,3.7949897960338608,121.35,125.05
13.399999999999997,-1.31061138052398,3.371582761247028,-3.253537727410804,2.5578585802267293,135.35,123.35
13.499999999999996,-0.6446330483343393,2.455973118688363,-3.9030344754569684,2.9350317750676047,128.55,127.85
13.599999999999998,-0.344278592140569,3.6250188469181235,-5.370437754962319,2.751807395629012,133.3,131.55
13.699999999999998,-0.03327124196967257,2.401444886611407,-3.638973793205653,3.0774382028676808,145.65,142.65
13.799999999999997,-0.7130300237536898,1.9122814331013946,-5.165841915188676,4.349272291996202,132.45,126.4
13.899999999999997,-0.913920904205793,2.8898684903766743,-5.297445997842105,4.68554831346705,127.65,128.8
13.999999999999996,-0.9883552334709073,3.341184308986165,-5.318242813425752,4.563874629420902,130.1,131.75
14.099999999999998,-0.912997359715602,3.622427441907826,-3.9367824277124703,3.980013836626726,131.95,136.0
14.199999999999998,0.09936369919518388,3.214508821149878,-5.672136711923017,4.489601740117006,131.9,127.75
14.299999999999997,0.7097211288197549,3.8647339643166907,-3.7431466414908114,4.075112372654651,133.2,128.35
14.399999999999997,-0.6521168847044975,3.05976083753093,-2.432326139500617,2.450774553064646,127.65,126.55
14.499999999999996,-0.47958734162344696,3.3690160825115862,-3.0981545226643945,3.2421890777430833,127.05,136.9
14.599999999999996,0.005517247393348223,2.7435711068943474,-3.8378934657114003,3.3944777449943517,131.85,119.95
14.699999999999998,-1.2733541801463757,3.1429696629811614,-4.490630687062942,2.483403647189495,125.2,135.25
14.799999999999997,0.04802734660405217,2.7753516599478756,-4.076396228668048,3.617595226324903,135.3,127.15
14.899999999999997,0.4187377258729875,3.7469082707988957,-4.233007511856801,3.42976928474736,132.45,132.4
14.999999999999996,-1.5391518689760282,4.5978485974709615,-4.016889758197632,3.7146686576194745,125.1,139.1
15.099999999999996,0.49312697456395826,3.300277734411243,-3.619773578042223,3.6806749996972563,130.85,135.05
15.199999999999998,-0.6164035469099994,3.734951792428791,-3.5685998209378775,3.49461885172176,131.35,127.55
